LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
New York,37.2,32.5,42.2,839,"$15,000 - $24,999","$15,000 - $24,999",2
Vermont,41.1,37.4,45,1007,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,32.5,29.4,35.8,1626,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,40.4,37.7,43.2,2257,"$75,000 or greater","$75,000 or greater",6
New Jersey,37.4,32.8,42.1,919,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,36.4,32,41,714,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,41.3,37.1,45.6,983,"$35,000 - $49,999","$35,000 - $49,999",4
Wyoming,38.8,35.1,42.5,1498,"$75,000 or greater","$75,000 or greater",6
Maine,40,36.5,43.6,1197,"$50,000 - $74,999","$50,000 - $74,999",5
Iowa,30.1,25.3,35.4,535,"$25,000 - $34,999","$25,000 - $34,999",3
California,37.1,34.8,39.4,3254,"$75,000 or greater","$75,000 or greater",6
Vermont,32.9,28.7,37.5,852,"$15,000 - $24,999","$15,000 - $24,999",2
California,38.3,33.7,43,675,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,37.1,32.3,42.2,652,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,35,30.2,40,677,"$15,000 - $24,999","$15,000 - $24,999",2
South Dakota,35.9,31.3,40.9,1066,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,39.1,35,43.4,1108,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,36,29,43.6,357,"Less than $15,000","Less than $15,000",1
Wisconsin,36.4,31,42.1,754,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,36.6,32.3,41.2,1635,"$50,000 - $74,999","$50,000 - $74,999",5
Indiana,35.3,31.8,39,1368,"$75,000 or greater","$75,000 or greater",6
Wisconsin,43.7,38.7,48.8,779,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,34.3,31.1,37.6,1757,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,38.1,34.3,42.1,1151,"$25,000 - $34,999","$25,000 - $34,999",3
Vermont,31.8,25.9,38.3,509,"Less than $15,000","Less than $15,000",1
Arkansas,37.8,31.3,44.7,605,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,38.1,32.2,44.3,786,"$15,000 - $24,999","$15,000 - $24,999",2
Maryland,33.8,29.7,38.2,1495,"$50,000 - $74,999","$50,000 - $74,999",5
New York,33,29.1,37.3,842,"$35,000 - $49,999","$35,000 - $49,999",4
Georgia,31.3,27.1,35.8,807,"$25,000 - $34,999","$25,000 - $34,999",3
Vermont,37.7,33.7,41.9,936,"$35,000 - $49,999","$35,000 - $49,999",4
Delaware,41,36.7,45.3,1052,"$75,000 or greater","$75,000 or greater",6
North Carolina,39.4,35.1,43.7,878,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,32.2,26.7,38.4,506,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,30.6,26.8,34.7,1293,"Less than $15,000","Less than $15,000",1
Idaho,44,39.1,49,754,"$50,000 - $74,999","$50,000 - $74,999",5
Arizona,37.2,29.9,45.1,634,"$25,000 - $34,999","$25,000 - $34,999",3
Louisiana,35.7,32.8,38.7,1459,"$75,000 or greater","$75,000 or greater",6
Nevada,32.5,26.1,39.6,396,"Less than $15,000","Less than $15,000",1
California,36.1,32.9,39.3,1879,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,28.9,24.7,33.5,839,"Less than $15,000","Less than $15,000",1
Kansas,37.6,35.4,39.8,2958,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,33.5,26.2,41.7,377,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,31.7,26.5,37.3,951,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,33,28.6,37.6,685,"$35,000 - $49,999","$35,000 - $49,999",4
Hawaii,39,34.6,43.6,880,"$35,000 - $49,999","$35,000 - $49,999",4
Missouri,33.3,28.7,38.3,680,"$25,000 - $34,999","$25,000 - $34,999",3
Maine,39.1,35.2,43.2,1200,"$35,000 - $49,999","$35,000 - $49,999",4
Arkansas,39.6,34.7,44.8,718,"$75,000 or greater","$75,000 or greater",6
Ohio,29.5,25.5,33.8,1178,"Less than $15,000","Less than $15,000",1
Florida,40.5,35.1,46.2,755,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,34.4,30.5,38.5,1188,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,31.9,28.1,35.9,891,"$25,000 - $34,999","$25,000 - $34,999",3
Florida,39.6,35.6,43.8,1189,"$35,000 - $49,999","$35,000 - $49,999",4
Montana,43.3,38.2,48.5,781,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,35,29.7,40.7,555,"$50,000 - $74,999","$50,000 - $74,999",5
New Hampshire,25,19.7,31.2,539,"Less than $15,000","Less than $15,000",1
Virginia,36.6,32.4,41.1,857,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,29.3,25.4,33.5,1098,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,39.6,35.8,43.6,821,"$75,000 or greater","$75,000 or greater",6
Illinois,41.4,36.5,46.4,730,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,37.8,33.8,42,1184,"$50,000 - $74,999","$50,000 - $74,999",5
West Virginia,30.3,26.5,34.5,772,"Less than $15,000","Less than $15,000",1
California,39.2,35.5,43,1158,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,36.9,35.1,38.8,4191,"$75,000 or greater","$75,000 or greater",6
Missouri,36.9,32.5,41.5,896,"$50,000 - $74,999","$50,000 - $74,999",5
Utah,38.8,36.9,40.8,3489,"$75,000 or greater","$75,000 or greater",6
Wyoming,39.1,35,43.5,949,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,39.5,33.5,45.8,481,"$25,000 - $34,999","$25,000 - $34,999",3
Utah,30.2,25.4,35.3,531,"Less than $15,000","Less than $15,000",1
South Carolina,30.4,26.9,34.2,1287,"Less than $15,000","Less than $15,000",1
Iowa,37.6,35,40.3,1978,"$75,000 or greater","$75,000 or greater",6
California,39.4,36,42.9,1559,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,37.7,31.7,44.1,553,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,27.2,23.7,31,891,"Less than $15,000","Less than $15,000",1
Washington,38,34.3,41.8,1417,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,31.1,27.3,35.2,1047,"Less than $15,000","Less than $15,000",1
New Mexico,39.5,35.8,43.2,1178,"$35,000 - $49,999","$35,000 - $49,999",4
Massachusetts,34.9,30.9,39.1,1444,"$35,000 - $49,999","$35,000 - $49,999",4
Michigan,34.9,31.5,38.5,1138,"$50,000 - $74,999","$50,000 - $74,999",5
Colorado,29,25.2,33.1,953,"Less than $15,000","Less than $15,000",1
Kentucky,33.4,28.9,38.1,1200,"$15,000 - $24,999","$15,000 - $24,999",2
Utah,35.9,33.2,38.7,2045,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,40.7,36.5,45.1,856,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,31.9,28.1,35.9,1054,"$35,000 - $49,999","$35,000 - $49,999",4
Idaho,37.5,33.3,41.9,969,"$75,000 or greater","$75,000 or greater",6
Wyoming,32.8,27.3,38.7,768,"$35,000 - $49,999","$35,000 - $49,999",4
Rhode Island,39.5,36.3,42.8,1495,"$75,000 or greater","$75,000 or greater",6
Rhode Island,38.5,35.3,41.8,1655,"$75,000 or greater","$75,000 or greater",6
Delaware,34,28.4,40.1,475,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,34.9,29.5,40.6,1030,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,31.8,28.5,35.3,1450,"$15,000 - $24,999","$15,000 - $24,999",2
South Dakota,25.8,20.8,31.5,660,"Less than $15,000","Less than $15,000",1
Montana,41.9,37.7,46.3,984,"$50,000 - $74,999","$50,000 - $74,999",5
California,34.6,31.4,37.9,1699,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,35.3,30.3,40.5,681,"$25,000 - $34,999","$25,000 - $34,999",3
Colorado,37.9,34.9,40.9,1968,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,36.5,32.2,41,1207,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,30.2,25.7,35.1,911,"$15,000 - $24,999","$15,000 - $24,999",2
Arizona,36.9,33,40.9,1369,"$75,000 or greater","$75,000 or greater",6
South Carolina,31.9,28.4,35.5,1276,"Less than $15,000","Less than $15,000",1
Hawaii,34.2,29.5,39.2,806,"$25,000 - $34,999","$25,000 - $34,999",3
Michigan,36.5,33.3,39.8,1382,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,33.2,29.2,37.4,1083,"Less than $15,000","Less than $15,000",1
Hawaii,27.5,23,32.4,758,"Less than $15,000","Less than $15,000",1
Alabama,40.7,35.6,46,656,"$35,000 - $49,999","$35,000 - $49,999",4
Connecticut,37.7,32.1,43.8,549,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,35.9,32.7,39.3,2455,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,36.8,33.8,39.8,1645,"$75,000 or greater","$75,000 or greater",6
Alabama,38.5,35.2,42,1414,"$75,000 or greater","$75,000 or greater",6
Washington,34.6,31.4,38,1418,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,38,35.3,40.6,3659,"$75,000 or greater","$75,000 or greater",6
Missouri,39.4,35.4,43.6,1161,"$75,000 or greater","$75,000 or greater",6
Kentucky,36.4,32.4,40.6,1346,"$35,000 - $49,999","$35,000 - $49,999",4
Louisiana,31.3,27.6,35.2,1629,"$15,000 - $24,999","$15,000 - $24,999",2
Louisiana,38.8,34.6,43.2,743,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,38.9,36.6,41.2,3414,"$75,000 or greater","$75,000 or greater",6
Kentucky,32.3,28.4,36.4,1139,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,34.8,32,37.6,2050,"$75,000 or greater","$75,000 or greater",6
Hawaii,35,32.1,38,2114,"$75,000 or greater","$75,000 or greater",6
Minnesota,37.1,34.9,39.4,2483,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,40.4,34.7,46.2,607,"$25,000 - $34,999","$25,000 - $34,999",3
Alabama,25.1,21.5,29.1,922,"Less than $15,000","Less than $15,000",1
South Dakota,35.6,29.7,42.1,853,"$25,000 - $34,999","$25,000 - $34,999",3
New York,34.4,29.7,39.5,797,"Less than $15,000","Less than $15,000",1
New Hampshire,25.4,20.3,31.3,461,"Less than $15,000","Less than $15,000",1
South Carolina,37.4,33.8,41.1,1517,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,34.1,29.3,39.1,881,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,34.5,30,39.2,892,"$15,000 - $24,999","$15,000 - $24,999",2
Maine,38.3,35.4,41.2,1791,"$35,000 - $49,999","$35,000 - $49,999",4
Alabama,36.9,32.3,41.8,843,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,24.6,17.9,32.7,271,"Less than $15,000","Less than $15,000",1
Connecticut,35.9,33.3,38.7,2208,"$75,000 or greater","$75,000 or greater",6
New Hampshire,36.1,31.9,40.5,831,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,39,37.1,40.9,4721,"$75,000 or greater","$75,000 or greater",6
New Jersey,37.3,34.2,40.6,1916,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,39.3,37.3,41.5,4268,"$75,000 or greater","$75,000 or greater",6
Ohio,38.7,35.8,41.6,2271,"$75,000 or greater","$75,000 or greater",6
Kansas,31.3,29.1,33.5,2777,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,38.1,34.5,41.9,1114,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,35.7,32.1,39.5,1106,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,32.3,28.9,35.8,1292,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,38.8,35.5,42.3,1442,"$35,000 - $49,999","$35,000 - $49,999",4
Georgia,30.7,25.9,35.9,723,"Less than $15,000","Less than $15,000",1
Massachusetts,35.4,31.8,39.2,1673,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,40.1,38,42.2,4879,"$75,000 or greater","$75,000 or greater",6
Colorado,38.9,35.5,42.3,1533,"$35,000 - $49,999","$35,000 - $49,999",4
Virginia,32.2,28.6,36,1161,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,39.1,34.8,43.6,850,"$50,000 - $74,999","$50,000 - $74,999",5
Florida,36.5,33.2,39.9,2134,"$15,000 - $24,999","$15,000 - $24,999",2
Nevada,26.8,19.2,36.1,279,"Less than $15,000","Less than $15,000",1
Alaska,42.3,35.2,49.7,397,"$35,000 - $49,999","$35,000 - $49,999",4
Hawaii,31.8,27.2,36.9,755,"$25,000 - $34,999","$25,000 - $34,999",3
Michigan,39.2,36.7,41.7,2325,"$75,000 or greater","$75,000 or greater",6
New Hampshire,37.7,33.3,42.2,983,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,40.9,36.7,45.1,1570,"$75,000 or greater","$75,000 or greater",6
Massachusetts,37.7,35.9,39.4,6037,"$75,000 or greater","$75,000 or greater",6
Vermont,34.4,31.1,37.9,1087,"$50,000 - $74,999","$50,000 - $74,999",5
New Mexico,31.6,28.2,35.1,1145,"Less than $15,000","Less than $15,000",1
South Dakota,34.2,29.1,39.7,933,"$35,000 - $49,999","$35,000 - $49,999",4
Arkansas,35.8,30.3,41.8,807,"$15,000 - $24,999","$15,000 - $24,999",2
North Carolina,36.8,33.1,40.6,1841,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,37,34.4,39.6,2356,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,30.4,26.6,34.5,1258,"$15,000 - $24,999","$15,000 - $24,999",2
Utah,34.6,32,37.3,1838,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,31,27.7,34.5,1026,"$15,000 - $24,999","$15,000 - $24,999",2
South Carolina,37.5,34.1,41,1455,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,35.5,32.3,38.8,1469,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,34.6,30.8,38.6,1150,"$25,000 - $34,999","$25,000 - $34,999",3
Alabama,40.6,36.3,45,959,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,40.4,36,44.8,881,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,27.8,23.1,33,916,"Less than $15,000","Less than $15,000",1
Iowa,29.8,24.7,35.5,527,"Less than $15,000","Less than $15,000",1
Colorado,36.4,33.4,39.5,1645,"$35,000 - $49,999","$35,000 - $49,999",4
California,35.7,32.9,38.6,2203,"$15,000 - $24,999","$15,000 - $24,999",2
Arizona,43.1,38.3,48,910,"$35,000 - $49,999","$35,000 - $49,999",4
Massachusetts,39.4,36.3,42.5,2587,"$50,000 - $74,999","$50,000 - $74,999",5
Arizona,35.3,30.5,40.4,913,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,40.3,35.6,45.1,664,"$50,000 - $74,999","$50,000 - $74,999",5
Texas,33.8,30.3,37.6,1711,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,35,32,38.1,1880,"$35,000 - $49,999","$35,000 - $49,999",4
New Mexico,32.2,28.9,35.7,1117,"Less than $15,000","Less than $15,000",1
Wyoming,38.7,35,42.6,1330,"$75,000 or greater","$75,000 or greater",6
Connecticut,35.7,30.9,40.8,871,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,31.1,28,34.4,1653,"$15,000 - $24,999","$15,000 - $24,999",2
Louisiana,38.7,33.5,44.3,880,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,33.6,29,38.5,928,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,29.4,25.4,33.7,949,"Less than $15,000","Less than $15,000",1
Mississippi,29.3,25.7,33.2,1321,"Less than $15,000","Less than $15,000",1
South Dakota,37.7,34.2,41.3,1644,"$75,000 or greater","$75,000 or greater",6
California,34.4,31.2,37.7,1474,"Less than $15,000","Less than $15,000",1
Wisconsin,32.3,27.6,37.4,850,"$15,000 - $24,999","$15,000 - $24,999",2
Minnesota,35.3,32.2,38.6,1373,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,38.1,35,41.3,1556,"$75,000 or greater","$75,000 or greater",6
Maryland,35.4,31.2,39.8,1279,"$35,000 - $49,999","$35,000 - $49,999",4
Kentucky,39.9,36.7,43.2,1826,"$75,000 or greater","$75,000 or greater",6
Maine,30.3,25.6,35.5,815,"Less than $15,000","Less than $15,000",1
Louisiana,35.8,31.6,40.3,1182,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,36.1,32.5,39.8,1039,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,33.8,28.2,39.8,570,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,38.4,35.4,41.6,1679,"$75,000 or greater","$75,000 or greater",6
North Carolina,36.4,33,40,1095,"$15,000 - $24,999","$15,000 - $24,999",2
Texas,30.7,26.4,35.3,1213,"Less than $15,000","Less than $15,000",1
Ohio,34.7,31.3,38.2,1513,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,30.8,27.7,34,1477,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,38.7,34.6,43,1065,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,39.2,36,42.5,1697,"$75,000 or greater","$75,000 or greater",6
Alaska,33.2,28.7,38.1,746,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,39.5,34.5,44.7,659,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,33.5,28.9,38.4,789,"Less than $15,000","Less than $15,000",1
North Carolina,31.1,27.1,35.4,1023,"Less than $15,000","Less than $15,000",1
Missouri,26,21.8,30.7,709,"Less than $15,000","Less than $15,000",1
Indiana,25.2,21.8,29,1075,"Less than $15,000","Less than $15,000",1
Massachusetts,32.8,29.9,35.8,3020,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,39.3,34.7,44,867,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,38.1,34.8,41.4,1479,"$50,000 - $74,999","$50,000 - $74,999",5
South Carolina,39.3,36.7,41.9,2377,"$75,000 or greater","$75,000 or greater",6
Illinois,36.8,33.9,39.9,1659,"$75,000 or greater","$75,000 or greater",6
Nebraska,36.3,33.4,39.3,2599,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,31.7,26.3,37.6,1188,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,36.4,31.8,41.2,878,"$25,000 - $34,999","$25,000 - $34,999",3
New York,37.6,34.5,40.8,1591,"$75,000 or greater","$75,000 or greater",6
Mississippi,33.2,29.2,37.4,1137,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,25.4,20.7,30.7,519,"$15,000 - $24,999","$15,000 - $24,999",2
New Jersey,35.3,31.5,39.3,1243,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,35.8,32.6,39.2,1457,"$35,000 - $49,999","$35,000 - $49,999",4
Louisiana,36.6,33.3,40,1585,"$75,000 or greater","$75,000 or greater",6
Alabama,35.2,29.4,41.4,588,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,35.9,32.2,39.7,961,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,37.2,33.4,41.2,1405,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,38.6,34.6,42.6,973,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,36,32.4,39.8,1413,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,41.1,36.3,46.1,765,"$75,000 or greater","$75,000 or greater",6
Kansas,37,35,39.1,3230,"$75,000 or greater","$75,000 or greater",6
New Hampshire,34,30.1,38.1,879,"$50,000 - $74,999","$50,000 - $74,999",5
Arizona,28.9,21.8,37.2,484,"Less than $15,000","Less than $15,000",1
Hawaii,37.3,34.5,40.1,2160,"$75,000 or greater","$75,000 or greater",6
West Virginia,33.3,29.8,37,948,"$15,000 - $24,999","$15,000 - $24,999",2
California,38.3,34.6,42.2,973,"$25,000 - $34,999","$25,000 - $34,999",3
Mississippi,29.1,26.2,32.3,1713,"Less than $15,000","Less than $15,000",1
Louisiana,34.1,29.6,38.8,591,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,31.5,26.3,37.2,695,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,25.4,18.7,33.4,361,"Less than $15,000","Less than $15,000",1
Kentucky,34.3,30.6,38.1,1387,"$50,000 - $74,999","$50,000 - $74,999",5
Wisconsin,40.8,35.6,46.4,723,"$35,000 - $49,999","$35,000 - $49,999",4
Missouri,33.2,29.1,37.7,1119,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,29,23.4,35.3,429,"Less than $15,000","Less than $15,000",1
California,38.2,36.5,40,5406,"$75,000 or greater","$75,000 or greater",6
California,39.4,35.4,43.5,978,"$50,000 - $74,999","$50,000 - $74,999",5
New Mexico,35.9,31.1,41,805,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,38.9,34.3,43.7,782,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,32.8,28.1,37.8,1305,"$25,000 - $34,999","$25,000 - $34,999",3
Washington,35.9,32,40,1636,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,36.2,33,39.6,1518,"$75,000 or greater","$75,000 or greater",6
Delaware,32.7,27.8,37.9,624,"$15,000 - $24,999","$15,000 - $24,999",2
Oregon,33.7,30.8,36.8,1382,"$75,000 or greater","$75,000 or greater",6
Alabama,28.4,24.4,32.6,1112,"Less than $15,000","Less than $15,000",1
Mississippi,39.2,33.6,45,609,"$35,000 - $49,999","$35,000 - $49,999",4
Alabama,35.4,32.1,38.8,1425,"$75,000 or greater","$75,000 or greater",6
Iowa,34.9,30.9,39,874,"$50,000 - $74,999","$50,000 - $74,999",5
Louisiana,34.6,29.6,40,537,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,30.7,26.4,35.3,879,"$15,000 - $24,999","$15,000 - $24,999",2
South Carolina,37.2,33.7,40.7,1352,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,35.7,32,39.6,1081,"$25,000 - $34,999","$25,000 - $34,999",3
Washington,32.5,29.2,36.1,1351,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,36.5,32.2,41.1,761,"$25,000 - $34,999","$25,000 - $34,999",3
Virginia,28.1,22.4,34.7,499,"Less than $15,000","Less than $15,000",1
Alabama,28.1,23.8,33,763,"Less than $15,000","Less than $15,000",1
Colorado,31.1,26.1,36.6,757,"Less than $15,000","Less than $15,000",1
Illinois,36.2,31.5,41.1,794,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,36.1,34.2,38.2,3213,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,35.5,30.4,40.9,620,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,31.8,28.2,35.7,1036,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,39.5,35,44.1,830,"$25,000 - $34,999","$25,000 - $34,999",3
Louisiana,30.1,25.9,34.6,1398,"Less than $15,000","Less than $15,000",1
Texas,32.6,27.1,38.6,1197,"Less than $15,000","Less than $15,000",1
Florida,37.7,33.3,42.3,2364,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,33,28.4,37.9,617,"$35,000 - $49,999","$35,000 - $49,999",4
Vermont,29.5,24.9,34.5,557,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,40.1,36,44.2,1098,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,38,35.5,40.6,2193,"$75,000 or greater","$75,000 or greater",6
New Hampshire,36.9,32.6,41.4,825,"$35,000 - $49,999","$35,000 - $49,999",4
California,33.2,29.3,37.2,1016,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,37.9,35.6,40.1,4427,"$75,000 or greater","$75,000 or greater",6
Montana,37.5,33.1,42.1,924,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,26.3,22.1,31.1,606,"Less than $15,000","Less than $15,000",1
Maine,37.6,33.6,41.7,1338,"$35,000 - $49,999","$35,000 - $49,999",4
New Hampshire,36.8,29.9,44.3,383,"$25,000 - $34,999","$25,000 - $34,999",3
Washington,36.5,33.1,40.1,1555,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,37.8,32.4,43.5,636,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,38.1,33.8,42.6,697,"$35,000 - $49,999","$35,000 - $49,999",4
Kentucky,27.9,22.8,33.6,617,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,40.4,35.8,45.2,860,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,29.8,24,36.3,629,"Less than $15,000","Less than $15,000",1
Virginia,30.8,25.8,36.2,693,"$25,000 - $34,999","$25,000 - $34,999",3
West Virginia,40.4,36.2,44.8,721,"$35,000 - $49,999","$35,000 - $49,999",4
South Carolina,34.6,30.2,39.1,991,"$25,000 - $34,999","$25,000 - $34,999",3
Ohio,38,35.2,40.8,2374,"$75,000 or greater","$75,000 or greater",6
Hawaii,33.9,29.7,38.3,934,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,41.9,37.7,46.4,1200,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,37.8,34.2,41.6,1159,"$75,000 or greater","$75,000 or greater",6
Maryland,29.9,24.7,35.8,716,"Less than $15,000","Less than $15,000",1
Louisiana,31.7,27.5,36.3,744,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,33.6,27.2,40.6,440,"$50,000 - $74,999","$50,000 - $74,999",5
California,35.1,31.2,39.1,992,"Less than $15,000","Less than $15,000",1
Missouri,35.8,31.5,40.3,882,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,32.9,25.6,41,619,"Less than $15,000","Less than $15,000",1
Michigan,34.1,31,37.4,1373,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,29.5,24.2,35.3,626,"Less than $15,000","Less than $15,000",1
Tennessee,38.2,34.4,42.1,1137,"$75,000 or greater","$75,000 or greater",6
Utah,34.3,30.3,38.4,931,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,37.5,35.6,39.3,4017,"$75,000 or greater","$75,000 or greater",6
Washington,32.7,28.9,36.9,928,"$25,000 - $34,999","$25,000 - $34,999",3
Delaware,33.1,27.8,38.9,532,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,40,36.7,43.4,1852,"$75,000 or greater","$75,000 or greater",6
Georgia,38.2,34.5,42.1,1041,"$75,000 or greater","$75,000 or greater",6
New Hampshire,37.7,34.7,40.9,1632,"$75,000 or greater","$75,000 or greater",6
Oklahoma,35.7,31.5,40,834,"$50,000 - $74,999","$50,000 - $74,999",5
Louisiana,34.5,29.4,40.1,588,"Less than $15,000","Less than $15,000",1
Washington,35,31.6,38.6,2051,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,36.6,33.2,40.1,1573,"$50,000 - $74,999","$50,000 - $74,999",5
New York,37.8,34.1,41.5,1317,"$50,000 - $74,999","$50,000 - $74,999",5
New York,33.3,29.6,37.1,1114,"$15,000 - $24,999","$15,000 - $24,999",2
New Jersey,40.1,36.7,43.5,1820,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,39.4,35.4,43.6,1076,"$75,000 or greater","$75,000 or greater",6
Oregon,27.6,22.2,33.8,328,"Less than $15,000","Less than $15,000",1
Louisiana,36.4,30.8,42.4,483,"$35,000 - $49,999","$35,000 - $49,999",4
